"","target","opponent","victory.rate"
"1","Crab","Crab",1
"2","Crab","Crane",0.428571428571429
"3","Crab","Dragon",0.272727272727273
"4","Crab","Lion",0.7
"5","Crab","Phoenix",0.375
"6","Crab","Scorpion",0.421052631578947
"7","Crab","Unicorn",0.571428571428571
"8","Crane","Crab",0.571428571428571
"9","Crane","Crane",1
"10","Crane","Dragon",0.375
"11","Crane","Lion",0.65
"12","Crane","Phoenix",1
"13","Crane","Scorpion",0.5625
"14","Crane","Unicorn",0.4
"15","Dragon","Crab",0.727272727272727
"16","Dragon","Crane",0.625
"17","Dragon","Dragon",1
"18","Dragon","Lion",0.909090909090909
"19","Dragon","Phoenix",0.4
"20","Dragon","Scorpion",0.15
"21","Dragon","Unicorn",0.714285714285714
"22","Lion","Crab",0.3
"23","Lion","Crane",0.35
"24","Lion","Dragon",0.0909090909090909
"25","Lion","Lion",1
"26","Lion","Phoenix",0.357142857142857
"27","Lion","Scorpion",0.125
"28","Lion","Unicorn",1
"29","Phoenix","Crab",0.625
"30","Phoenix","Crane",0
"31","Phoenix","Dragon",0.6
"32","Phoenix","Lion",0.642857142857143
"33","Phoenix","Scorpion",0.6
"34","Phoenix","Unicorn",0.4
"35","Scorpion","Crab",0.578947368421053
"36","Scorpion","Crane",0.4375
"37","Scorpion","Dragon",0.85
"38","Scorpion","Lion",0.875
"39","Scorpion","Phoenix",0.4
"40","Scorpion","Scorpion",1
"41","Scorpion","Unicorn",0.777777777777778
"42","Unicorn","Crab",0.428571428571429
"43","Unicorn","Crane",0.6
"44","Unicorn","Dragon",0.285714285714286
"45","Unicorn","Lion",0
"46","Unicorn","Phoenix",0.6
"47","Unicorn","Scorpion",0.222222222222222
"48","Unicorn","Unicorn",1
